Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2011,1,1,0,0,0,0,0,0,0,0,1,-10,92.82,0,0.222,1.9,39.39,2,890,N/A
2011,1,1,0,30,0,0,0,0,0,0,7,-10,98.52,0,0.222,1.9,39.4,2,890,N/A
2011,1,1,1,0,0,0,0,0,0,0,7,-10,104.38,0,0.222,2,40.52,2,890,N/A
2011,1,1,1,30,0,0,0,0,0,0,7,-10,110.36,0,0.222,2.1,40.53,2,890,N/A
2011,1,1,2,0,0,0,0,0,0,0,7,-10,116.45,0,0.222,2.3,40.09,2,890,N/A
2011,1,1,2,30,0,0,0,0,0,0,1,-10,122.6,0,0.222,2.5,40.1,2,890,N/A
2011,1,1,3,0,0,0,0,0,0,0,8,-10,128.81,0,0.222,2.7,38.48,2,890,N/A
2011,1,1,3,30,0,0,0,0,0,0,1,-10,135.05,0,0.222,2.8,41.35,1,900,N/A
2011,1,1,4,0,0,0,0,0,0,0,0,-11,141.29,0,0.222,2.9,38.96,1,900,N/A
2011,1,1,4,30,0,0,0,0,0,0,4,-11,147.49,0,0.222,3,41.89,0,900,N/A
2011,1,1,5,0,0,0,0,0,0,0,4,-12,153.57,0,0.222,3.3,38.55,0,900,N/A
2011,1,1,5,30,0,0,0,0,0,0,4,-12,159.4,0,0.222,3.4,38.55,0,900,N/A
2011,1,1,6,0,0,0,0,0,0,0,1,-13,164.66,0,0.222,3.6,35.61,0,900,N/A
2011,1,1,6,30,0,0,0,0,0,0,1,-13,168.48,0,0.222,3.4,38.31,-1,900,N/A
2011,1,1,7,0,0,0,0,0,0,0,1,-14,169.21,0,0.222,3.3,38.66,-2,900,N/A
2011,1,1,7,30,0,0,0,0,0,0,0,-14,166.33,0,0.222,3.2,38.67,-2,900,N/A
2011,1,1,8,0,0,0,0,0,0,0,0,-15,161.46,0,0.222,3.2,38.61,-3,900,N/A
2011,1,1,8,30,0,0,0,0,0,0,0,-15,155.79,0,0.222,3.1,38.62,-3,900,N/A
2011,1,1,9,0,0,0,0,0,0,0,0,-15,149.77,0,0.222,3,38.87,-4,900,N/A
2011,1,1,9,30,0,0,0,0,0,0,0,-15,143.61,0,0.222,2.9,38.88,-4,900,N/A
2011,1,1,10,0,0,0,0,0,0,0,0,-16,137.38,0,0.222,2.8,40.09,-5,900,N/A
2011,1,1,10,30,0,0,0,0,0,0,0,-16,131.14,0,0.222,2.7,40.11,-5,900,N/A
2011,1,1,11,0,0,0,0,0,0,0,0,-16,124.91,0,0.222,2.7,42.44,-6,900,N/A
2011,1,1,11,30,0,0,0,0,0,0,0,-16,118.73,0,0.222,2.7,42.46,-6,900,N/A
2011,1,1,12,0,0,0,0,0,0,0,0,-16,112.61,0,0.222,2.7,42.4,-6,900,N/A
2011,1,1,12,30,0,0,0,0,0,0,0,-16,106.59,0,0.222,2.5,42.43,-6,900,N/A
2011,1,1,13,0,0,0,0,0,0,0,0,-16,100.68,0,0.222,2.4,43.23,-6,900,N/A
2011,1,1,13,30,0,0,0,0,0,0,1,-16,94.91,0,0.222,2.7,40.09,-5,900,N/A
2011,1,1,14,0,0,0,0,0,0,0,1,-16,89.31,0,0.222,3,40.04,-5,900,N/A
2011,1,1,14,30,36,197,57,30,569,90,4,-16,83.94,0,0.222,3.3,34.48,-4,900,N/A
2011,1,1,15,0,43,742,186,43,742,186,1,-17,78.84,0,0.222,3.7,29.99,-3,900,N/A
2011,1,1,15,30,52,842,283,52,842,283,1,-17,74.06,0,0.222,3.9,27.87,-1,900,N/A
2011,1,1,16,0,58,908,373,58,908,373,1,-18,69.68,0,0.222,4.1,23.45,0,900,N/A
2011,1,1,16,30,62,952,453,62,952,453,1,-18,65.77,0,0.222,4,23.44,0,900,N/A
2011,1,1,17,0,66,983,521,66,983,521,0,-18,62.44,0,0.222,4,21.28,1,900,N/A
2011,1,1,17,30,68,1003,574,68,1003,574,0,-18,59.77,0,0.222,4.2,21.27,1,900,N/A
2011,1,1,18,0,68,1022,611,68,1022,611,0,-18,57.87,0,0.222,4.4,19.51,2,900,N/A
2011,1,1,18,30,68,1029,632,68,1029,632,0,-18,56.81,0,0.222,4.7,19.5,2,900,N/A
2011,1,1,19,0,68,1031,635,68,1031,635,0,-19,56.63,0,0.222,5.1,17.79,3,900,N/A
2011,1,1,19,30,67,1027,621,67,1027,621,0,-19,57.35,0,0.222,5.3,17.78,3,900,N/A
2011,1,1,20,0,65,1018,590,65,1018,590,0,-19,58.93,0,0.222,5.5,16.22,4,900,N/A
2011,1,1,20,30,63,1001,544,63,1001,544,0,-19,61.3,0,0.222,5.3,16.22,4,900,N/A
2011,1,1,21,0,58,981,482,58,981,482,0,-19,64.39,0,0.222,5.2,16.21,4,900,N/A
2011,1,1,21,30,54,946,407,54,946,407,0,-19,68.08,0,0.222,4.7,16.21,3,900,N/A
2011,1,1,22,0,49,892,321,49,892,321,0,-18,72.28,0,0.222,4.2,17.21,3,900,N/A
2011,1,1,22,30,43,812,227,43,812,227,0,-18,76.91,0,0.222,2.9,19.82,1,900,N/A
2011,1,1,23,0,33,676,128,33,676,128,0,-14,81.9,0,0.222,1.7,33.36,0,900,N/A
2011,1,1,23,30,18,422,38,18,422,38,0,-14,87.17,0,0.222,1.6,35.89,-1,900,N/A
2011,1,2,0,0,0,0,0,0,0,0,0,-14,92.68,0,0.222,1.5,37.86,-2,900,N/A
2011,1,2,0,30,0,0,0,0,0,0,0,-14,98.38,0,0.222,1.4,37.87,-2,900,N/A
2011,1,2,1,0,0,0,0,0,0,0,1,-14,104.24,0,0.222,1.4,36.42,-2,900,N/A
2011,1,2,1,30,0,0,0,0,0,0,0,-14,110.23,0,0.222,1.4,36.43,-2,900,N/A
2011,1,2,2,0,0,0,0,0,0,0,0,-15,116.31,0,0.222,1.4,37.68,-3,900,N/A
2011,1,2,2,30,0,0,0,0,0,0,0,-15,122.47,0,0.222,1.3,37.68,-3,900,N/A
2011,1,2,3,0,0,0,0,0,0,0,0,-15,128.68,0,0.222,1.3,37.16,-3,900,N/A
2011,1,2,3,30,0,0,0,0,0,0,0,-15,134.92,0,0.222,1.3,37.17,-3,900,N/A
2011,1,2,4,0,0,0,0,0,0,0,0,-15,141.16,0,0.222,1.3,40.45,-4,900,N/A
2011,1,2,4,30,0,0,0,0,0,0,0,-15,147.35,0,0.222,1.4,40.45,-4,900,N/A
2011,1,2,5,0,0,0,0,0,0,0,1,-15,153.43,0,0.222,1.5,40.61,-4,900,N/A
2011,1,2,5,30,0,0,0,0,0,0,0,-15,159.26,0,0.222,1.7,40.61,-4,900,N/A
2011,1,2,6,0,0,0,0,0,0,0,0,-15,164.52,0,0.222,1.9,40.87,-4,900,N/A
2011,1,2,6,30,0,0,0,0,0,0,0,-15,168.36,0,0.222,2,40.87,-4,900,N/A
2011,1,2,7,0,0,0,0,0,0,0,0,-15,169.15,0,0.222,2.2,41.44,-5,900,N/A
2011,1,2,7,30,0,0,0,0,0,0,0,-15,166.33,0,0.222,2.3,41.45,-5,900,N/A
2011,1,2,8,0,0,0,0,0,0,0,0,-14,161.49,0,0.222,2.5,45.54,-5,900,N/A
2011,1,2,8,30,0,0,0,0,0,0,0,-14,155.83,0,0.222,2.4,45.54,-5,900,N/A
2011,1,2,9,0,0,0,0,0,0,0,0,-14,149.83,0,0.222,2.4,46.67,-5,900,N/A
2011,1,2,9,30,0,0,0,0,0,0,0,-14,143.67,0,0.222,2.3,46.66,-5,900,N/A
2011,1,2,10,0,0,0,0,0,0,0,0,-14,137.44,0,0.222,2.3,47.71,-5,900,N/A
2011,1,2,10,30,0,0,0,0,0,0,4,-14,131.2,0,0.222,2.2,47.7,-5,900,N/A
2011,1,2,11,0,0,0,0,0,0,0,4,-14,124.97,0,0.222,2.2,48.44,-5,900,N/A
2011,1,2,11,30,0,0,0,0,0,0,4,-14,118.79,0,0.222,2.1,48.44,-5,900,N/A
2011,1,2,12,0,0,0,0,0,0,0,0,-14,112.67,0,0.222,2,48.98,-6,900,N/A
2011,1,2,12,30,0,0,0,0,0,0,0,-14,106.64,0,0.222,1.9,48.98,-6,900,N/A
2011,1,2,13,0,0,0,0,0,0,0,1,-14,100.72,0,0.222,1.9,53.15,-6,900,N/A
2011,1,2,13,30,0,0,0,0,0,0,1,-14,94.95,0,0.222,2.3,49.26,-5,900,N/A
2011,1,2,14,0,0,0,0,0,0,0,4,-14,89.35,0,0.222,2.8,44.72,-4,900,N/A
2011,1,2,14,30,36,181,55,28,600,91,4,-14,83.97,0,0.222,2.6,38.54,-3,900,N/A
2011,1,2,15,0,73,166,105,39,764,187,4,-14,78.86,0,0.222,2.5,36.28,-2,900,N/A
2011,1,2,15,30,47,859,283,47,859,283,1,-14,74.07,0,0.222,2,33.74,0,900,N/A
2011,1,2,16,0,53,919,372,53,919,372,1,-14,69.67,0,0.222,1.6,29.19,1,910,N/A
2011,1,2,16,30,57,959,451,57,959,451,1,-14,65.76,0,0.222,2,27.17,2,900,N/A
2011,1,2,17,0,61,985,518,61,985,518,1,-15,62.41,0,0.222,2.4,23.39,4,900,N/A
2011,1,2,17,30,63,1003,569,63,1003,569,0,-15,59.73,0,0.222,2.8,23.38,4,900,N/A
2011,1,2,18,0,64,1016,605,64,1016,605,0,-15,57.81,0,0.222,3.3,21.54,5,900,N/A
2011,1,2,18,30,64,1021,625,64,1021,625,0,-15,56.73,0,0.222,3.7,20.08,6,900,N/A
2011,1,2,19,0,63,1022,627,63,1022,627,0,-15,56.54,0,0.222,4.1,17.76,7,900,N/A
2011,1,2,19,30,63,1018,614,63,1018,614,0,-15,57.24,0,0.222,4.3,17.76,7,900,N/A
2011,1,2,20,0,60,1011,583,60,1011,583,0,-16,58.81,0,0.222,4.5,15.82,8,900,N/A
2011,1,2,20,30,58,996,538,58,996,538,0,-16,61.18,0,0.222,4.4,15.82,8,900,N/A
2011,1,2,21,0,54,974,477,54,974,477,0,-16,64.26,0,0.222,4.4,15.79,8,900,N/A
2011,1,2,21,30,51,940,404,51,940,404,0,-16,67.94,0,0.222,3.5,16.9,7,900,N/A
2011,1,2,22,0,47,886,319,47,886,319,0,-12,72.14,0,0.222,2.6,24.69,6,900,N/A
2011,1,2,22,30,41,809,226,41,809,226,0,-12,76.77,0,0.222,2.2,30.44,3,900,N/A
2011,1,2,23,0,32,674,129,32,674,129,0,-11,81.76,0,0.222,1.9,38.85,1,900,N/A
2011,1,2,23,30,18,429,40,18,429,40,0,-11,87.03,0,0.222,2,41.76,0,900,N/A
2011,1,3,0,0,0,0,0,0,0,0,0,-12,92.54,0,0.222,2.2,37.24,0,900,N/A
2011,1,3,0,30,0,0,0,0,0,0,0,-12,98.25,0,0.222,2.3,37.24,0,900,N/A
2011,1,3,1,0,0,0,0,0,0,0,0,-13,104.11,0,0.222,2.4,36.05,0,900,N/A
2011,1,3,1,30,0,0,0,0,0,0,1,-13,110.09,0,0.222,2.5,36.05,0,900,N/A
2011,1,3,2,0,0,0,0,0,0,0,0,-13,116.18,0,0.222,2.6,37.84,-1,900,N/A
2011,1,3,2,30,0,0,0,0,0,0,0,-13,122.33,0,0.222,2.6,37.84,-1,900,N/A
2011,1,3,3,0,0,0,0,0,0,0,0,-13,128.55,0,0.222,2.7,37.17,-1,900,N/A
2011,1,3,3,30,0,0,0,0,0,0,0,-13,134.78,0,0.222,2.7,37.17,-1,900,N/A
2011,1,3,4,0,0,0,0,0,0,0,0,-13,141.02,0,0.222,2.8,36.72,-1,900,N/A
