Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2012,1,1,0,0,0,0,0,0,0,0,7,-4,92.85,0,0.198,4.1,29.25,13,900,N/A
2012,1,1,0,30,0,0,0,0,0,0,7,-4,98.55,0,0.198,4.4,31.27,12,900,N/A
2012,1,1,1,0,0,0,0,0,0,0,7,-5,104.41,0,0.198,4.7,31.34,11,900,N/A
2012,1,1,1,30,0,0,0,0,0,0,7,-5,110.4,0,0.198,5.3,33.53,10,900,N/A
2012,1,1,2,0,0,0,0,0,0,0,1,-6,116.48,0,0.198,6,32.16,9,900,N/A
2012,1,1,2,30,0,0,0,0,0,0,0,-6,122.64,0,0.198,6.7,34.44,8,910,N/A
2012,1,1,3,0,0,0,0,0,0,0,0,-10,128.85,0,0.198,7.5,28.07,7,910,N/A
2012,1,1,3,30,0,0,0,0,0,0,0,-10,135.09,0,0.198,7.2,30.08,6,910,N/A
2012,1,1,4,0,0,0,0,0,0,0,0,-9,141.32,0,0.198,7,33.48,5,910,N/A
2012,1,1,4,30,0,0,0,0,0,0,0,-9,147.52,0,0.198,6.7,35.92,4,910,N/A
2012,1,1,5,0,0,0,0,0,0,0,0,-6,153.6,0,0.198,6.4,49.46,3,910,N/A
2012,1,1,5,30,0,0,0,0,0,0,0,-6,159.43,0,0.198,6,53.11,2,910,N/A
2012,1,1,6,0,0,0,0,0,0,0,0,-4,164.69,0,0.198,5.7,60.04,2,910,N/A
2012,1,1,6,30,0,0,0,0,0,0,0,-4,168.51,0,0.198,5.1,64.51,1,910,N/A
2012,1,1,7,0,0,0,0,0,0,0,0,-4,169.22,0,0.198,4.6,64.85,1,910,N/A
2012,1,1,7,30,0,0,0,0,0,0,0,-4,166.33,0,0.198,4.1,69.73,0,910,N/A
2012,1,1,8,0,0,0,0,0,0,0,0,-5,161.45,0,0.198,3.7,66.72,0,910,N/A
2012,1,1,8,30,0,0,0,0,0,0,0,-5,155.77,0,0.198,3.1,66.74,0,910,N/A
2012,1,1,9,0,0,0,0,0,0,0,0,-5,149.76,0,0.198,2.5,64.09,0,910,N/A
2012,1,1,9,30,0,0,0,0,0,0,0,-5,143.59,0,0.198,2.2,64.11,0,910,N/A
2012,1,1,10,0,0,0,0,0,0,0,0,-6,137.37,0,0.198,1.9,66.68,-1,910,N/A
2012,1,1,10,30,0,0,0,0,0,0,0,-6,131.12,0,0.198,1.8,66.71,-1,910,N/A
2012,1,1,11,0,0,0,0,0,0,0,0,-6,124.9,0,0.198,1.8,69.39,-2,910,N/A
2012,1,1,11,30,0,0,0,0,0,0,0,-6,118.71,0,0.198,1.9,69.43,-2,910,N/A
2012,1,1,12,0,0,0,0,0,0,0,0,-7,112.6,0,0.198,2,66.93,-2,910,N/A
2012,1,1,12,30,0,0,0,0,0,0,0,-7,106.57,0,0.198,2,66.97,-2,910,N/A
2012,1,1,13,0,0,0,0,0,0,0,0,-7,100.66,0,0.198,2.1,69.44,-3,910,N/A
2012,1,1,13,30,0,0,0,0,0,0,0,-7,94.9,0,0.198,2.7,64.52,-2,920,N/A
2012,1,1,14,0,0,0,0,0,0,0,0,-8,89.3,0,0.198,3.3,58.49,-1,920,N/A
2012,1,1,14,30,36,202,57,27,578,88,4,-8,83.94,0,0.198,3.4,54.41,0,920,N/A
2012,1,1,15,0,66,291,123,39,738,182,3,-8,78.83,0,0.198,3.6,50.16,1,920,N/A
2012,1,1,15,30,47,834,277,47,834,277,1,-8,74.06,0,0.198,3.2,43.5,3,920,N/A
2012,1,1,16,0,54,893,364,54,893,364,1,-10,69.68,0,0.198,2.9,31.45,5,920,N/A
2012,1,1,16,30,58,934,441,58,934,441,1,-10,65.78,0,0.198,2.8,29.34,6,920,N/A
2012,1,1,17,0,61,962,506,61,962,506,0,-11,62.45,0,0.198,2.7,24.74,7,920,N/A
2012,1,1,17,30,63,980,557,63,980,557,0,-11,59.78,0,0.198,2.3,24.72,7,920,N/A
2012,1,1,18,0,65,991,591,65,991,591,0,-11,57.88,0,0.198,1.9,23.21,8,920,N/A
2012,1,1,18,30,65,995,610,65,995,610,0,-11,56.82,0,0.198,1.6,23.2,8,920,N/A
2012,1,1,19,0,65,994,612,65,994,612,0,-11,56.65,0,0.198,1.4,21.98,9,920,N/A
2012,1,1,19,30,65,988,597,65,988,597,0,-11,57.37,0,0.198,1.2,21.97,9,910,N/A
2012,1,1,20,0,64,975,566,64,975,566,0,-11,58.95,0,0.198,1.2,22.15,9,910,N/A
2012,1,1,20,30,61,956,520,61,956,520,0,-11,61.33,0,0.198,1.1,22.14,9,910,N/A
