Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2016,1,1,0,0,0,0,0,0,0,0,8,-2,92.85,0,0.866,3.3,82.19,0,910,N/A
2016,1,1,0,30,0,0,0,0,0,0,8,-2,98.55,0,0.866,3.6,82.24,0,910,N/A
2016,1,1,1,0,0,0,0,0,0,0,8,-3,104.41,0,0.866,3.9,79.87,0,910,N/A
2016,1,1,1,30,0,0,0,0,0,0,8,-3,110.39,0,0.866,4.1,79.91,0,910,N/A
2016,1,1,2,0,0,0,0,0,0,0,8,-3,116.48,0,0.866,4.3,83.36,-1,910,N/A
2016,1,1,2,30,0,0,0,0,0,0,8,-3,122.63,0,0.866,4.1,83.39,-1,910,N/A
2016,1,1,3,0,0,0,0,0,0,0,4,-3,128.85,0,0.866,4,83.09,-1,910,N/A
2016,1,1,3,30,0,0,0,0,0,0,4,-3,135.08,0,0.866,3.9,83.1,-1,910,N/A
2016,1,1,4,0,0,0,0,0,0,0,8,-3,141.32,0,0.866,3.8,84.39,-1,910,N/A
2016,1,1,4,30,0,0,0,0,0,0,4,-3,147.52,0,0.866,3.5,84.41,-1,910,N/A
2016,1,1,5,0,0,0,0,0,0,0,4,-3,153.6,0,0.866,3.3,85.91,-1,910,N/A
2016,1,1,5,30,0,0,0,0,0,0,4,-3,159.43,0,0.866,3.3,85.93,-1,910,N/A
2016,1,1,6,0,0,0,0,0,0,0,4,-2,164.69,0,0.866,3.3,87.21,-1,910,N/A
2016,1,1,6,30,0,0,0,0,0,0,8,-2,168.51,0,0.866,3.3,87.21,-1,910,N/A
2016,1,1,7,0,0,0,0,0,0,0,8,-2,169.22,0,0.866,3.3,87.51,-1,910,N/A
2016,1,1,7,30,0,0,0,0,0,0,4,-2,166.33,0,0.866,3.3,87.52,-1,910,N/A
2016,1,1,8,0,0,0,0,0,0,0,8,-3,161.45,0,0.866,3.4,85.9,-2,910,N/A
2016,1,1,8,30,0,0,0,0,0,0,8,-3,155.77,0,0.866,3.4,85.9,-2,910,N/A
2016,1,1,9,0,0,0,0,0,0,0,8,-3,149.76,0,0.866,3.4,88.92,-2,910,N/A
2016,1,1,9,30,0,0,0,0,0,0,8,-3,143.59,0,0.866,3.5,88.91,-2,910,N/A
2016,1,1,10,0,0,0,0,0,0,0,8,-4,137.37,0,0.866,3.7,84.15,-2,910,N/A
2016,1,1,10,30,0,0,0,0,0,0,8,-4,131.12,0,0.866,3.4,84.14,-2,910,N/A
2016,1,1,11,0,0,0,0,0,0,0,8,-5,124.9,0,0.866,3.1,79.2,-2,910,N/A
2016,1,1,11,30,0,0,0,0,0,0,8,-5,118.71,0,0.866,3,79.22,-2,910,N/A
2016,1,1,12,0,0,0,0,0,0,0,8,-5,112.6,0,0.866,2.9,75.41,-2,910,N/A
2016,1,1,12,30,0,0,0,0,0,0,8,-5,106.57,0,0.866,2.8,75.42,-2,910,N/A
2016,1,1,13,0,0,0,0,0,0,0,8,-6,100.66,0,0.866,2.8,72.14,-2,910,N/A
2016,1,1,13,30,0,0,0,0,0,0,8,-6,94.9,0,0.866,2.8,72.15,-2,910,N/A
2016,1,1,14,0,0,0,0,0,0,0,8,-6,89.3,0,0.866,2.9,70.25,-2,910,N/A
2016,1,1,14,30,23,0,23,39,353,77,4,-6,83.93,4,0.866,3.3,65.29,-1,910,N/A
2016,1,1,15,0,49,0,49,61,543,166,4,-7,78.83,4,0.866,3.8,57.09,0,910,N/A
2016,1,1,15,30,77,0,77,77,658,258,4,-7,74.05,4,0.866,3.8,57.1,0,910,N/A
2016,1,1,16,0,103,0,103,90,732,345,8,-7,69.67,4,0.866,3.8,55.4,0,910,N/A
2016,1,1,16,30,126,0,126,101,784,423,8,-7,65.77,4,0.866,3.5,51.54,0,910,N/A
2016,1,1,17,0,146,0,146,110,817,488,4,-7,62.44,0,0.866,3.2,49.17,1,910,N/A
2016,1,1,17,30,197,25,210,116,842,540,4,-7,59.78,0,0.866,2.8,49.15,1,910,N/A
2016,1,1,18,0,245,94,295,120,859,577,4,-7,57.88,0,0.866,2.4,51.13,2,910,N/A
2016,1,1,18,30,203,17,212,122,868,597,4,-7,56.82,0,0.866,2,51.1,2,910,N/A
2016,1,1,19,0,258,114,321,121,872,600,8,-6,56.65,0,0.866,1.7,49.23,3,910,N/A
2016,1,1,19,30,218,411,440,119,866,587,8,-6,57.37,0,0.866,1.4,49.22,3,910,N/A
2016,1,1,20,0,184,12,191,115,856,557,4,-6,58.95,0,0.866,1.1,50.94,3,910,N/A
2016,1,1,20,30,201,46,224,110,835,511,4,-6,61.33,0,0.866,0.8,50.94,3,910,N/A
2016,1,1,21,0,186,69,216,103,804,450,4,-5,64.41,0,0.866,0.6,52.38,3,910,N/A
2016,1,1,21,30,159,57,181,94,759,377,4,-5,68.11,4,0.866,0.4,52.38,3,910,N/A
2016,1,1,22,0,81,697,293,81,697,293,4,-5,72.31,4,0.866,0.2,53.12,3,910,N/A
2016,1,1,22,30,67,601,202,67,601,202,1,-5,76.94,0,0.866,0.2,57.02,2,910,N/A
2016,1,1,23,0,47,457,111,47,457,111,1,-4,81.93,0,0.866,0.2,64.72,1,910,N/A
2016,1,1,23,30,21,205,31,21,205,31,1,-4,87.2,0,0.866,0.3,69.57,0,910,N/A
2016,1,2,0,0,0,0,0,0,0,0,1,-5,92.71,0,0.866,0.4,66.18,0,910,N/A
2016,1,2,0,30,0,0,0,0,0,0,4,-5,98.42,0,0.866,0.5,66.19,0,910,N/A
2016,1,2,1,0,0,0,0,0,0,0,4,-5,104.27,0,0.866,0.7,64.96,0,910,N/A
2016,1,2,1,30,0,0,0,0,0,0,4,-5,110.26,0,0.866,0.8,64.97,0,910,N/A
2016,1,2,2,0,0,0,0,0,0,0,4,-5,116.34,0,0.866,0.9,69.96,-1,910,N/A
