Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2018,1,1,0,0,0,0,0,0,0,0,7,-14.7,92.79,0,0.18,4,53.77,-6.9,918,N/A
2018,1,1,0,30,0,0,0,0,0,0,7,-14.7,98.49,0,0.18,4.1,55.08,-7.2,919,N/A
2018,1,1,1,0,0,0,0,0,0,0,6,-15.2,104.35,0,0.18,4.1,54.28,-7.5,919,N/A
2018,1,1,1,30,0,0,0,0,0,0,7,-15.2,110.34,0,0.18,4.1,55.56,-7.8,919,N/A
2018,1,1,2,0,0,0,0,0,0,0,7,-15.7,116.42,0,0.18,4,54.32,-8.1,920,N/A
2018,1,1,2,30,0,0,0,0,0,0,7,-15.7,122.58,0,0.18,3.9,55.17,-8.3,920,N/A
2018,1,1,3,0,0,0,0,0,0,0,7,-16.3,128.79,0,0.18,3.8,53.03,-8.4,920,N/A
2018,1,1,3,30,0,0,0,0,0,0,7,-16.3,135.03,0,0.18,3.8,53.03,-8.4,920,N/A
2018,1,1,4,0,0,0,0,0,0,0,7,-16.8,141.27,0,0.18,3.8,50.96,-8.4,920,N/A
2018,1,1,4,30,0,0,0,0,0,0,7,-16.8,147.46,0,0.18,3.8,50.96,-8.4,920,N/A
2018,1,1,5,0,0,0,0,0,0,0,7,-17.1,153.55,0,0.18,3.8,49.37,-8.4,920,N/A
2018,1,1,5,30,0,0,0,0,0,0,0,-17.1,159.38,0,0.18,3.8,49.76,-8.5,920,N/A
2018,1,1,6,0,0,0,0,0,0,0,7,-17.5,164.64,0,0.18,3.7,48.42,-8.5,920,N/A
2018,1,1,6,30,0,0,0,0,0,0,7,-17.4,168.47,0,0.18,3.6,48.47,-8.5,921,N/A
2018,1,1,7,0,0,0,0,0,0,0,0,-17.7,169.2,0,0.18,3.4,47.78,-8.6,921,N/A
2018,1,1,7,30,0,0,0,0,0,0,0,-17.7,166.33,0,0.18,3.3,48.15,-8.7,921,N/A
2018,1,1,8,0,0,0,0,0,0,0,0,-17.9,161.47,0,0.18,3.2,47.3,-8.7,921,N/A
