Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2019,1,1,0,0,0,0,0,0,0,0,0,-3.1,92.82,0,0.2,2.6,60.54,3.8,903
2019,1,1,0,30,0,0,0,0,0,0,0,-3.1,98.53,0,0.2,3.5,61.83,3.5,903
2019,1,1,1,0,0,0,0,0,0,0,0,-2.9,104.39,0,0.2,4.5,64.2,3.2,904
2019,1,1,1,30,0,0,0,0,0,0,0,-2.9,110.37,0,0.2,5,68.02,2.4,905
2019,1,1,2,0,0,0,0,0,0,0,0,-2.3,116.46,0,0.2,5.5,75.2,1.6,905
2019,1,1,2,30,0,0,0,0,0,0,0,-2.3,122.62,0,0.2,5.6,80.31,0.7,906
2019,1,1,3,0,0,0,0,0,0,0,0,-2.4,128.83,0,0.2,5.6,84.75,-0.1,906
2019,1,1,3,30,0,0,0,0,0,0,0,-2.4,135.07,0,0.2,5.5,88.53,-0.7,906
2019,1,1,4,0,0,0,0,0,0,0,0,-3.5,141.3,0,0.2,5.5,84.89,-1.3,907
2019,1,1,4,30,0,0,0,0,0,0,0,-3.5,147.5,0,0.2,5.4,89.37,-2,907
2019,1,1,5,0,0,0,0,0,0,0,0,-5.5,153.58,0,0.2,5.3,80.42,-2.6,907
2019,1,1,5,30,0,0,0,0,0,0,0,-5.5,159.41,0,0.2,5.2,84.18,-3.2,908
2019,1,1,6,0,0,0,0,0,0,0,0,-7.5,164.67,0,0.2,5.2,75.93,-3.9,908
2019,1,1,6,30,0,0,0,0,0,0,0,-7.5,168.5,0,0.2,4.9,78.84,-4.4,908
2019,1,1,7,0,0,0,0,0,0,0,0,-9.2,169.22,0,0.2,4.7,72.5,-5,908
2019,1,1,7,30,0,0,0,0,0,0,0,-9.2,166.33,0,0.2,4.6,74.73,-5.4,908
2019,1,1,8,0,0,0,0,0,0,0,0,-10.3,161.46,0,0.2,4.4,71.3,-5.9,909
2019,1,1,8,30,0,0,0,0,0,0,0,-10.3,155.78,0,0.2,4.5,72.4,-6.1,909
2019,1,1,9,0,0,0,0,0,0,0,0,-10.9,149.77,0,0.2,4.6,69.98,-6.3,909
2019,1,1,9,30,0,0,0,0,0,0,0,-10.9,143.61,0,0.2,4.8,70.52,-6.4,909
2019,1,1,10,0,0,0,0,0,0,0,0,-11.4,137.38,0,0.2,5,67.98,-6.5,909
2019,1,1,10,30,0,0,0,0,0,0,0,-11.4,131.13,0,0.2,5,67.98,-6.5,909
2019,1,1,11,0,0,0,0,0,0,0,0,-12.1,124.91,0,0.2,5,64.58,-6.5,909
2019,1,1,11,30,0,0,0,0,0,0,0,-12.1,118.72,0,0.2,4.9,64.65,-6.5,910
2019,1,1,12,0,0,0,0,0,0,0,0,-12.6,112.61,0,0.2,4.8,61.92,-6.5,910
2019,1,1,12,30,0,0,0,0,0,0,0,-12.6,106.58,0,0.2,4.7,61.52,-6.4,911
2019,1,1,13,0,0,0,0,0,0,0,0,-13,100.67,0,0.2,4.7,59.68,-6.4,911
2019,1,1,13,30,0,0,0,0,0,0,0,-12.9,94.9,0,0.2,4.7,59.29,-6.3,912
2019,1,1,14,0,8,84,10,14,163,17,0,-13.1,88.93,29,0.2,4.7,57.7,-6.1,912
2019,1,1,14,30,23,266,52,33,504,87,0,-13.1,83.8,46,0.2,4.7,55.54,-5.6,912
2019,1,1,15,0,40,486,135,45,682,178,0,-12.8,78.75,29,0.2,4.7,54.99,-5.2,912
2019,1,1,15,30,50,134,87,53,788,270,4,-12.8,73.99,4,0.2,4.4,52.61,-4.6,913
2019,1,1,16,0,85,0,85,59,862,359,4,-12.3,69.62,0,0.2,4.2,52.34,-4,913
2019,1,1,16,30,103,0,103,63,909,437,4,-12.3,65.73,0,0.2,3.9,49.98,-3.4,912
2019,1,1,17,0,129,1,129,67,940,502,4,-11.6,62.4,0,0.2,3.5,50.27,-2.7,912
2019,1,1,17,30,138,1,139,69,962,554,4,-11.6,59.73,0,0.2,3.1,48.03,-2.1,911
2019,1,1,18,0,147,0,147,70,977,590,4,-10.8,57.83,0,0.2,2.7,49.28,-1.5,911
2019,1,1,18,30,163,3,165,70,985,610,4,-10.8,56.77,0,0.2,2.4,47.8,-1.1,910
2019,1,1,19,0,186,19,196,69,989,614,4,-10,56.59,0,0.2,2.1,49.02,-0.6,909
2019,1,1,19,30,218,52,246,68,985,600,4,-10,57.31,0,0.2,1.8,47.96,-0.3,909
2019,1,1,20,0,153,536,430,67,976,571,4,-9.4,58.9,0,0.2,1.5,49.29,0,909
2019,1,1,20,30,100,798,484,65,958,525,0,-9.4,61.27,0,0.2,1.4,49.29,0,909
2019,1,1,21,0,189,153,255,62,933,466,4,-9.1,64.35,0,0.2,1.3,50.49,0,909
2019,1,1,21,30,150,58,172,58,895,393,4,-9.1,68.04,0,0.2,1.2,51.98,-0.4,909
2019,1,1,22,0,104,98,134,53,839,309,4,-9,72.23,14,0.2,1.1,53.56,-0.7,909
2019,1,1,22,30,70,56,83,46,755,218,4,-9,76.85,100,0.2,0.9,57.63,-1.7,909
2019,1,1,23,0,26,2,26,37,616,125,4,-8.4,81.8,100,0.2,0.7,64.61,-2.7,910
2019,1,1,23,30,8,0,8,22,338,40,4,-8.4,86.95,86,0.2,0.7,64.61,-2.7,910
2019,1,2,0,0,0,0,0,0,0,0,4,-9,92.69,0,0.2,0.9,69.79,-4.3,910
2019,1,2,0,30,0,0,0,0,0,0,7,-9,98.39,0,0.2,0.9,70.32,-4.4,910
2019,1,2,1,0,0,0,0,0,0,0,7,-8.8,104.25,0,0.2,1,71.14,-4.4,911
2019,1,2,1,30,0,0,0,0,0,0,7,-8.8,110.24,0,0.2,1.5,70.08,-4.2,911
2019,1,2,2,0,0,0,0,0,0,0,7,-9.2,116.32,0,0.2,2.1,67.39,-4,911
2019,1,2,2,30,0,0,0,0,0,0,7,-9.2,122.48,0,0.2,2.1,67.9,-4.1,911
2019,1,2,3,0,0,0,0,0,0,0,7,-9.3,128.69,0,0.2,2.1,67.4,-4.2,911
2019,1,2,3,30,0,0,0,0,0,0,7,-9.4,134.93,0,0.2,2.1,67.32,-4.2,910
2019,1,2,4,0,0,0,0,0,0,0,7,-9.5,141.17,0,0.2,2,67.22,-4.3,910
2019,1,2,4,30,0,0,0,0,0,0,7,-9.5,147.36,0,0.2,2,67.22,-4.3,910
2019,1,2,5,0,0,0,0,0,0,0,7,-9.7,153.45,0,0.2,2,66.21,-4.3,910
2019,1,2,5,30,0,0,0,0,0,0,7,-9.7,159.28,0,0.2,1.9,66.71,-4.4,910
2019,1,2,6,0,0,0,0,0,0,0,7,-9.9,164.53,0,0.2,1.9,65.44,-4.4,910
2019,1,2,6,30,0,0,0,0,0,0,7,-9.9,168.38,0,0.2,1.7,65.44,-4.4,910
2019,1,2,7,0,0,0,0,0,0,0,7,-10.2,169.15,0,0.2,1.6,64.12,-4.4,910
2019,1,2,7,30,0,0,0,0,0,0,7,-10.2,166.33,0,0.2,1.4,64.12,-4.4,910
2019,1,2,8,0,0,0,0,0,0,0,0,-10.3,161.49,0,0.2,1.2,63,-4.3,910
2019,1,2,8,30,0,0,0,0,0,0,0,-10.3,155.83,0,0.2,1.2,63,-4.3,910
2019,1,2,9,0,0,0,0,0,0,0,0,-10.3,149.83,0,0.2,1.1,62.9,-4.3,910
2019,1,2,9,30,0,0,0,0,0,0,0,-10.3,143.67,0,0.2,1.1,62.9,-4.3,910
2019,1,2,10,0,0,0,0,0,0,0,7,-10.2,137.44,0,0.2,1.1,62.81,-4.2,909
2019,1,2,10,30,0,0,0,0,0,0,0,-10.2,131.19,0,0.2,1,62.81,-4.2,909
2019,1,2,11,0,0,0,0,0,0,0,7,-10.1,124.97,0,0.2,1,63.52,-4.2,909
2019,1,2,11,30,0,0,0,0,0,0,7,-10.1,118.78,0,0.2,0.9,63.52,-4.2,909
2019,1,2,12,0,0,0,0,0,0,0,7,-10,112.66,0,0.2,0.7,64.17,-4.2,909
2019,1,2,12,30,0,0,0,0,0,0,0,-10,106.63,0,0.2,0.6,63.7,-4.1,909
2019,1,2,13,0,0,0,0,0,0,0,0,-9.9,100.71,0,0.2,0.5,64.24,-4.1,909
2019,1,2,13,30,0,0,0,0,0,0,7,-9.9,94.94,0,0.2,0.5,63.28,-3.9,909
2019,1,2,14,0,4,15,4,13,143,16,7,-9.7,88.96,57,0.2,0.6,63.19,-3.7,909
2019,1,2,14,30,20,0,20,35,466,85,7,-9.7,83.83,100,0.2,0.7,60.88,-3.2,909
2019,1,2,15,0,38,0,38,48,647,174,7,-9.2,78.77,100,0.2,0.7,60.78,-2.7,909
2019,1,2,15,30,63,1,63,58,750,265,7,-9.2,74,29,0.2,0.5,58.58,-2.2,909
2019,1,2,16,0,132,108,170,67,814,350,7,-8.7,69.62,0,0.2,0.2,58.95,-1.7,909
2019,1,2,16,30,159,141,217,73,858,426,7,-8.7,65.71,14,0.2,0.2,56.82,-1.2,909
2019,1,2,17,0,122,0,122,79,886,490,4,-8,62.37,0,0.2,0.3,58.34,-0.8,908
2019,1,2,17,30,133,1,134,82,912,542,4,-8,59.69,0,0.2,0.3,55.85,-0.2,908
2019,1,2,18,0,193,17,202,82,934,580,4,-7.1,57.77,0,0.2,0.3,57.58,0.3,907
2019,1,2,18,30,248,95,300,83,945,602,4,-7.1,56.69,0,0.2,0.5,55.88,0.7,906
2019,1,2,19,0,257,127,327,83,945,605,4,-6.3,56.5,0,0.2,0.6,57.99,1,906
2019,1,2,19,30,226,45,250,82,941,592,4,-6.3,57.21,0,0.2,0.6,57.17,1.2,906
2019,1,2,20,0,201,26,214,80,931,563,4,-5.9,58.78,0,0.2,0.7,58.2,1.4,905
2019,1,2,20,30,193,32,208,77,914,518,4,-5.9,61.15,0,0.2,0.7,58.2,1.4,905
2019,1,2,21,0,171,28,183,73,888,459,4,-5.7,64.22,0,0.2,0.6,59.56,1.3,905
2019,1,2,21,30,123,5,125,69,843,386,4,-5.7,67.9,0,0.2,0.7,60.42,1.1,905
2019,1,2,22,0,93,41,106,62,777,301,4,-5.6,72.1,0,0.2,0.8,61.81,0.9,905
2019,1,2,22,30,61,572,192,54,682,211,0,-5.6,76.71,7,0.2,0.8,65.08,0.2,906
2019,1,2,23,0,46,368,99,43,531,120,0,-5.2,81.66,36,0.2,0.7,70.8,-0.6,906
2019,1,2,23,30,24,243,37,24,264,39,0,-5.2,86.82,7,0.2,0.7,70.8,-0.6,906
2019,1,3,0,0,0,0,0,0,0,0,0,-5.4,92.55,0,0.2,0.7,74.61,-1.5,906
2019,1,3,0,30,0,0,0,0,0,0,0,-5.4,98.25,0,0.2,0.7,76.28,-1.8,906
2019,1,3,1,0,0,0,0,0,0,0,0,-5.5,104.11,0,0.2,0.7,77.14,-2,906
2019,1,3,1,30,0,0,0,0,0,0,0,-5.5,110.1,0,0.2,0.7,78.87,-2.3,906
2019,1,3,2,0,0,0,0,0,0,0,0,-5.6,116.18,0,0.2,0.7,80.09,-2.6,906
2019,1,3,2,30,0,0,0,0,0,0,7,-5.6,122.34,0,0.2,0.7,81.29,-2.8,906
2019,1,3,3,0,0,0,0,0,0,0,7,-5.6,128.56,0,0.2,0.7,81.82,-2.9,905
2019,1,3,3,30,0,0,0,0,0,0,7,-5.6,134.8,0,0.2,0.8,83.05,-3.1,905
2019,1,3,4,0,0,0,0,0,0,0,7,-5.5,141.03,0,0.2,0.8,83.85,-3.2,905
2019,1,3,4,30,0,0,0,0,0,0,4,-5.5,147.23,0,0.2,0.9,85.1,-3.4,905
2019,1,3,5,0,0,0,0,0,0,0,7,-5.5,153.31,0,0.2,0.9,86.7,-3.6,905
2019,1,3,5,30,0,0,0,0,0,0,0,-5.5,159.14,0,0.2,1,86.7,-3.6,905
2019,1,3,6,0,0,0,0,0,0,0,0,-5.4,164.39,0,0.2,1.1,87,-3.6,905
2019,1,3,6,30,0,0,0,0,0,0,4,-5.4,168.25,0,0.2,1.2,86.35,-3.5,905
2019,1,3,7,0,0,0,0,0,0,0,4,-5.4,169.08,0,0.2,1.4,85.86,-3.4,905
2019,1,3,7,30,0,0,0,0,0,0,4,-5.4,166.32,0,0.2,1.4,85.22,-3.3,905
2019,1,3,8,0,0,0,0,0,0,0,4,-5.5,161.52,0,0.2,1.5,83.8,-3.1,905
2019,1,3,8,30,0,0,0,0,0,0,0,-5.5,155.87,0,0.2,1.5,82.56,-2.9,905
2019,1,3,9,0,0,0,0,0,0,0,7,-5.6,149.88,0,0.2,1.6,80.73,-2.7,904
2019,1,3,9,30,0,0,0,0,0,0,7,-5.6,143.72,0,0.2,1.6,80.73,-2.7,904
2019,1,3,10,0,0,0,0,0,0,0,7,-5.7,137.5,0,0.2,1.6,79.66,-2.7,904
2019,1,3,10,30,0,0,0,0,0,0,7,-5.7,131.25,0,0.2,1.7,79.66,-2.7,904
2019,1,3,11,0,0,0,0,0,0,0,7,-6,125.02,0,0.2,1.8,78.7,-2.8,904
