Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2015,1,1,0,0,0,0,0,0,0,0,7,-9,92.82,0,0.866,1.9,64.46,-4,910,N/A
2015,1,1,0,30,0,0,0,0,0,0,7,-9,98.52,0,0.866,2,64.45,-4,910,N/A
2015,1,1,1,0,0,0,0,0,0,0,7,-9,104.38,0,0.866,2.2,70.04,-5,910,N/A
2015,1,1,1,30,0,0,0,0,0,0,1,-9,110.36,0,0.866,2.2,70.03,-5,910,N/A
2015,1,1,2,0,0,0,0,0,0,0,4,-9,116.44,0,0.866,2.3,70.55,-5,910,N/A
2015,1,1,2,30,0,0,0,0,0,0,7,-9,122.6,0,0.866,2.2,70.54,-5,910,N/A
2015,1,1,3,0,0,0,0,0,0,0,4,-9,128.81,0,0.866,2.1,71.11,-5,910,N/A
2015,1,1,3,30,0,0,0,0,0,0,4,-9,135.05,0,0.866,2.1,71.08,-5,910,N/A
2015,1,1,4,0,0,0,0,0,0,0,7,-9,141.29,0,0.866,2.2,71.73,-5,910,N/A
2015,1,1,4,30,0,0,0,0,0,0,7,-9,147.48,0,0.866,2.2,71.71,-5,910,N/A
2015,1,1,5,0,0,0,0,0,0,0,4,-9,153.57,0,0.866,2.3,72.47,-5,910,N/A
2015,1,1,5,30,0,0,0,0,0,0,4,-9,159.4,0,0.866,2.2,72.45,-5,910,N/A
2015,1,1,6,0,0,0,0,0,0,0,7,-9,164.65,0,0.866,2.2,73.29,-5,910,N/A
2015,1,1,6,30,0,0,0,0,0,0,7,-9,168.48,0,0.866,2.1,67.95,-4,910,N/A
2015,1,1,7,0,0,0,0,0,0,0,7,-8,169.21,0,0.866,2,69.11,-4,900,N/A
2015,1,1,7,30,0,0,0,0,0,0,7,-8,166.33,0,0.866,2,69.1,-4,900,N/A
2015,1,1,8,0,0,0,0,0,0,0,6,-8,161.46,0,0.866,2.1,70.76,-4,900,N/A
2015,1,1,8,30,0,0,0,0,0,0,4,-8,155.79,0,0.866,2,70.73,-4,900,N/A
2015,1,1,9,0,0,0,0,0,0,0,7,-8,149.77,0,0.866,2,72.38,-4,900,N/A
2015,1,1,9,30,0,0,0,0,0,0,4,-8,143.61,0,0.866,1.8,72.35,-4,900,N/A
2015,1,1,10,0,0,0,0,0,0,0,7,-8,137.38,0,0.866,1.6,73.64,-4,900,N/A
2015,1,1,10,30,0,0,0,0,0,0,4,-8,131.14,0,0.866,1.3,73.62,-4,900,N/A
2015,1,1,11,0,0,0,0,0,0,0,7,-7,124.91,0,0.866,1.1,74.77,-4,900,N/A
2015,1,1,11,30,0,0,0,0,0,0,7,-7,118.73,0,0.866,1,74.78,-4,900,N/A
2015,1,1,12,0,0,0,0,0,0,0,7,-7,112.61,0,0.866,1,75.97,-4,900,N/A
2015,1,1,12,30,0,0,0,0,0,0,7,-7,106.59,0,0.866,1,70.51,-3,900,N/A
2015,1,1,13,0,0,0,0,0,0,0,7,-7,100.67,0,0.866,1.1,71.64,-3,900,N/A
2015,1,1,13,30,0,0,0,0,0,0,7,-7,94.91,0,0.866,1.1,71.65,-3,900,N/A
2015,1,1,14,0,0,0,0,0,0,0,7,-7,89.31,0,0.866,1.2,72.65,-3,900,N/A
2015,1,1,14,30,12,0,12,44,284,74,7,-7,83.94,0,0.866,1.3,72.65,-3,900,N/A
