Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2013,1,1,0,0,0,0,0,0,0,0,1,-3,92.75,0,0.22,1.6,61.74,3,900,N/A
2013,1,1,0,30,0,0,0,0,0,0,1,-3,98.45,0,0.22,1.5,66.29,2,900,N/A
2013,1,1,1,0,0,0,0,0,0,0,0,-3,104.31,0,0.22,1.4,64.51,2,900,N/A
2013,1,1,1,30,0,0,0,0,0,0,0,-3,110.29,0,0.22,1.2,69.32,1,900,N/A
2013,1,1,2,0,0,0,0,0,0,0,4,-4,116.38,0,0.22,1.2,68.11,1,900,N/A
2013,1,1,2,30,0,0,0,0,0,0,4,-4,122.54,0,0.22,1.2,73.24,0,900,N/A
2013,1,1,3,0,0,0,0,0,0,0,4,-4,128.75,0,0.22,1.2,71.52,0,900,N/A
2013,1,1,3,30,0,0,0,0,0,0,4,-4,134.99,0,0.22,1.2,71.55,0,900,N/A
2013,1,1,4,0,0,0,0,0,0,0,4,-4,141.22,0,0.22,1.4,75.79,-1,900,N/A
2013,1,1,4,30,0,0,0,0,0,0,4,-4,147.42,0,0.22,1.7,81.59,-2,900,N/A
2013,1,1,5,0,0,0,0,0,0,0,4,-5,153.5,0,0.22,2,86.04,-3,900,N/A
2013,1,1,5,30,0,0,0,0,0,0,4,-5,159.33,0,0.22,2.3,86.06,-3,900,N/A
2013,1,1,6,0,0,0,0,0,0,0,4,-5,164.59,0,0.22,2.7,83.59,-3,900,N/A
2013,1,1,6,30,0,0,0,0,0,0,4,-5,168.42,0,0.22,2.9,83.61,-3,900,N/A
2013,1,1,7,0,0,0,0,0,0,0,4,-5,169.18,0,0.22,3.1,86.55,-4,900,N/A
2013,1,1,7,30,0,0,0,0,0,0,4,-5,166.33,0,0.22,3.1,86.57,-4,900,N/A
2013,1,1,8,0,0,0,0,0,0,0,4,-6,161.48,0,0.22,3.1,81.83,-4,900,N/A
2013,1,1,8,30,0,0,0,0,0,0,0,-6,155.81,0,0.22,2.8,81.83,-4,900,N/A
2013,1,1,9,0,0,0,0,0,0,0,0,-7,149.8,0,0.22,2.5,83.14,-5,900,N/A
2013,1,1,9,30,0,0,0,0,0,0,0,-7,143.64,0,0.22,2.1,83.16,-5,900,N/A
2013,1,1,10,0,0,0,0,0,0,0,0,-8,137.41,0,0.22,1.7,85.56,-6,900,N/A
2013,1,1,10,30,0,0,0,0,0,0,0,-8,131.17,0,0.22,1.6,85.58,-6,900,N/A
2013,1,1,11,0,0,0,0,0,0,0,0,-8,124.94,0,0.22,1.5,82.95,-6,900,N/A
2013,1,1,11,30,0,0,0,0,0,0,0,-8,118.76,0,0.22,1.5,82.96,-6,900,N/A
2013,1,1,12,0,0,0,0,0,0,0,0,-8,112.64,0,0.22,1.5,81.48,-6,900,N/A
2013,1,1,12,30,0,0,0,0,0,0,0,-8,106.61,0,0.22,1.4,81.51,-6,900,N/A
2013,1,1,13,0,0,0,0,0,0,0,0,-8,100.7,0,0.22,1.4,81.04,-6,900,N/A
2013,1,1,13,30,0,0,0,0,0,0,0,-8,94.93,0,0.22,1.9,75.14,-5,900,N/A
2013,1,1,14,0,0,0,0,0,0,0,0,-8,89.33,0,0.22,2.4,75.56,-5,900,N/A
2013,1,1,14,30,35,217,58,34,458,82,4,-8,83.96,0,0.22,2.6,70.09,-4,900,N/A
2013,1,1,15,0,50,635,173,50,635,173,1,-8,78.85,0,0.22,2.9,67.53,-3,900,N/A
2013,1,1,15,30,62,745,266,62,745,266,1,-8,74.06,0,0.22,2.6,62.73,-2,900,N/A
2013,1,1,16,0,71,812,353,71,812,353,1,-7,69.67,0,0.22,2.4,60.82,-1,900,N/A
2013,1,1,16,30,77,862,431,77,862,431,1,-7,65.76,0,0.22,2.1,56.55,0,900,N/A
2013,1,1,17,0,83,894,497,83,894,497,1,-6,62.42,0,0.22,1.9,59.46,0,900,N/A
2013,1,1,17,30,86,918,548,86,918,548,0,-6,59.75,0,0.22,2,59.45,0,900,N/A
2013,1,1,18,0,85,942,587,85,942,587,0,-6,57.84,0,0.22,2.3,57.59,1,900,N/A
2013,1,1,18,30,86,950,607,86,950,607,0,-6,56.77,0,0.22,2.6,53.59,2,900,N/A
2013,1,1,19,0,86,952,611,86,952,611,0,-6,56.58,0,0.22,3,51.28,3,900,N/A
2013,1,1,19,30,85,947,597,85,947,597,1,-6,57.29,0,0.22,3.1,51.26,3,900,N/A
2013,1,1,20,0,84,935,567,84,935,567,7,-6,58.87,4,0.22,3.2,51.21,3,900,N/A
